"Dist Code","Year","State Code","State Name","Dist Name","WHEAT YIELD (Kg per ha)"
"7","2011","6","Madhya Pradesh","Jabalpur","3063.0"
"8","2011","6","Madhya Pradesh","Balaghat","1313.0"
"9","2011","6","Madhya Pradesh","Chhindwara","2284.0"
"10","2011","6","Madhya Pradesh","Narsinghpur","3981.0"
"11","2011","6","Madhya Pradesh","Seoni","1103.0"
"12","2011","6","Madhya Pradesh","Mandla","972.0"
"13","2011","6","Madhya Pradesh","Sagar","1477.0"
"14","2011","6","Madhya Pradesh","Damoh","2466.0"
"15","2011","6","Madhya Pradesh","Tikamgarh","2133.0"
"16","2011","6","Madhya Pradesh","Chhatarpur","1529.0"
"17","2011","6","Madhya Pradesh","Panna","1548.0"
"18","2011","6","Madhya Pradesh","Rewa","1296.0"
"19","2011","6","Madhya Pradesh","Sidhi","1082.0"
"20","2011","6","Madhya Pradesh","Satna","1496.0"
"21","2011","6","Madhya Pradesh","Shahdol","876.0"
"22","2011","6","Madhya Pradesh","Gwalior","3091.0"
"23","2011","6","Madhya Pradesh","Shivpuri","2176.0"
"24","2011","6","Madhya Pradesh","Guna","2351.0"
"25","2011","6","Madhya Pradesh","Datia","2793.0"
"26","2011","6","Madhya Pradesh","Morena","2703.0"
"27","2011","6","Madhya Pradesh","Bhind","2102.0"
"28","2011","6","Madhya Pradesh","Indore","2386.0"
"29","2011","6","Madhya Pradesh","Ratlam","4125.0"
"30","2011","6","Madhya Pradesh","Ujjain","2667.0"
"31","2011","6","Madhya Pradesh","Mandsaur","3230.0"
"32","2011","6","Madhya Pradesh","Dewas","2679.0"
"33","2011","6","Madhya Pradesh","Dhar","2442.0"
"34","2011","6","Madhya Pradesh","Jhabua","2009.0"
"35","2011","6","Madhya Pradesh","Khargone","4116.0"
"36","2011","6","Madhya Pradesh","Khandwa","2435.0"
"37","2011","6","Madhya Pradesh","Sehore","2912.0"
"38","2011","6","Madhya Pradesh","Raisen","2897.0"
"39","2011","6","Madhya Pradesh","Vidisha","1950.0"
"40","2011","6","Madhya Pradesh","Betul","2915.0"
"41","2011","6","Madhya Pradesh","Rajgarh","2215.0"
"42","2011","6","Madhya Pradesh","Shajapur","3007.0"
"43","2011","6","Madhya Pradesh","Hoshangabad","4602.0"
"502","2011","6","Madhya Pradesh","Bhopal","4045.0"
"1057","2011","6","Madhya Pradesh","Dindori","675.0"
"1058","2011","6","Madhya Pradesh","Harda","4404.0"
"1060","2011","6","Madhya Pradesh","Barwani","3183.0"
"1061","2011","6","Madhya Pradesh","Katni","1325.0"
"1062","2011","6","Madhya Pradesh","Neemuch","2596.0"
"1063","2011","6","Madhya Pradesh","Sheopur Kalan","2623.0"
"1064","2011","6","Madhya Pradesh","Umaria","944.0"
"1071","2011","6","Madhya Pradesh","Anuppur","951.0"
"1081","2011","6","Madhya Pradesh","Ashoknagar","1852.0"
"1082","2011","6","Madhya Pradesh","Burhanpur","2991.0"
"2006","2011","6","Madhya Pradesh","Alirajpur","2096.0"
"2007","2011","6","Madhya Pradesh","Singrauli","1269.0"
