"Dist Code","Year","State Code","State Name","Dist Name","WHEAT YIELD (Kg per ha)"
"7","2009","6","Madhya Pradesh","Jabalpur","1662.0"
"8","2009","6","Madhya Pradesh","Balaghat","1327.0"
"9","2009","6","Madhya Pradesh","Chhindwara","3827.0"
"10","2009","6","Madhya Pradesh","Narsinghpur","2602.0"
"11","2009","6","Madhya Pradesh","Seoni","832.0"
"12","2009","6","Madhya Pradesh","Mandla","774.0"
"13","2009","6","Madhya Pradesh","Sagar","1413.0"
"14","2009","6","Madhya Pradesh","Damoh","1890.0"
"15","2009","6","Madhya Pradesh","Tikamgarh","1666.0"
"16","2009","6","Madhya Pradesh","Chhatarpur","1429.0"
"17","2009","6","Madhya Pradesh","Panna","1422.0"
"18","2009","6","Madhya Pradesh","Rewa","1015.0"
"19","2009","6","Madhya Pradesh","Sidhi","824.0"
"20","2009","6","Madhya Pradesh","Satna","1209.0"
"21","2009","6","Madhya Pradesh","Shahdol","701.0"
"22","2009","6","Madhya Pradesh","Gwalior","2277.0"
"23","2009","6","Madhya Pradesh","Shivpuri","1791.0"
"24","2009","6","Madhya Pradesh","Guna","1607.0"
"25","2009","6","Madhya Pradesh","Datia","2347.0"
"26","2009","6","Madhya Pradesh","Morena","2206.0"
"27","2009","6","Madhya Pradesh","Bhind","2532.0"
"28","2009","6","Madhya Pradesh","Indore","2168.0"
"29","2009","6","Madhya Pradesh","Ratlam","2938.0"
"30","2009","6","Madhya Pradesh","Ujjain","2472.0"
"31","2009","6","Madhya Pradesh","Mandsaur","2463.0"
"32","2009","6","Madhya Pradesh","Dewas","2502.0"
"33","2009","6","Madhya Pradesh","Dhar","2233.0"
"34","2009","6","Madhya Pradesh","Jhabua","1866.0"
"35","2009","6","Madhya Pradesh","Khargone","2716.0"
"36","2009","6","Madhya Pradesh","Khandwa","1668.0"
"37","2009","6","Madhya Pradesh","Sehore","2088.0"
"38","2009","6","Madhya Pradesh","Raisen","2032.0"
"39","2009","6","Madhya Pradesh","Vidisha","1870.0"
"40","2009","6","Madhya Pradesh","Betul","3100.0"
"41","2009","6","Madhya Pradesh","Rajgarh","1870.0"
"42","2009","6","Madhya Pradesh","Shajapur","2639.0"
"43","2009","6","Madhya Pradesh","Hoshangabad","3011.0"
"502","2009","6","Madhya Pradesh","Bhopal","2043.0"
"1057","2009","6","Madhya Pradesh","Dindori","601.0"
"1058","2009","6","Madhya Pradesh","Harda","1556.0"
"1060","2009","6","Madhya Pradesh","Barwani","1539.0"
"1061","2009","6","Madhya Pradesh","Katni","1063.0"
"1062","2009","6","Madhya Pradesh","Neemuch","2116.0"
"1063","2009","6","Madhya Pradesh","Sheopur Kalan","3057.0"
"1064","2009","6","Madhya Pradesh","Umaria","782.0"
"1071","2009","6","Madhya Pradesh","Anuppur","672.0"
"1081","2009","6","Madhya Pradesh","Ashoknagar","1586.0"
"1082","2009","6","Madhya Pradesh","Burhanpur","1796.0"
"2006","2009","6","Madhya Pradesh","Alirajpur","1810.0"
"2007","2009","6","Madhya Pradesh","Singrauli","1084.0"
