"Dist Code","Year","State Code","State Name","Dist Name","WHEAT YIELD (Kg per ha)"
"7","2005","6","Madhya Pradesh","Jabalpur","2154.0"
"8","2005","6","Madhya Pradesh","Balaghat","955.0"
"9","2005","6","Madhya Pradesh","Chhindwara","1518.0"
"10","2005","6","Madhya Pradesh","Narsinghpur","2965.0"
"11","2005","6","Madhya Pradesh","Seoni","885.0"
"12","2005","6","Madhya Pradesh","Mandla","938.0"
"13","2005","6","Madhya Pradesh","Sagar","1066.0"
"14","2005","6","Madhya Pradesh","Damoh","1491.0"
"15","2005","6","Madhya Pradesh","Tikamgarh","1337.0"
"16","2005","6","Madhya Pradesh","Chhatarpur","1410.0"
"17","2005","6","Madhya Pradesh","Panna","1015.0"
"18","2005","6","Madhya Pradesh","Rewa","1023.0"
"19","2005","6","Madhya Pradesh","Sidhi","746.0"
"20","2005","6","Madhya Pradesh","Satna","1143.0"
"21","2005","6","Madhya Pradesh","Shahdol","824.0"
"22","2005","6","Madhya Pradesh","Gwalior","2520.0"
"23","2005","6","Madhya Pradesh","Shivpuri","1845.0"
"24","2005","6","Madhya Pradesh","Guna","1615.0"
"25","2005","6","Madhya Pradesh","Datia","2159.0"
"26","2005","6","Madhya Pradesh","Morena","3179.0"
"27","2005","6","Madhya Pradesh","Bhind","1979.0"
"28","2005","6","Madhya Pradesh","Indore","1510.0"
"29","2005","6","Madhya Pradesh","Ratlam","2968.0"
"30","2005","6","Madhya Pradesh","Ujjain","1755.0"
"31","2005","6","Madhya Pradesh","Mandsaur","2053.0"
"32","2005","6","Madhya Pradesh","Dewas","2054.0"
"33","2005","6","Madhya Pradesh","Dhar","1746.0"
"34","2005","6","Madhya Pradesh","Jhabua","1819.0"
"35","2005","6","Madhya Pradesh","Khargone","2092.0"
"36","2005","6","Madhya Pradesh","Khandwa","1692.0"
"37","2005","6","Madhya Pradesh","Sehore","1874.0"
"38","2005","6","Madhya Pradesh","Raisen","1710.0"
"39","2005","6","Madhya Pradesh","Vidisha","1514.0"
"40","2005","6","Madhya Pradesh","Betul","1564.0"
"41","2005","6","Madhya Pradesh","Rajgarh","1380.0"
"42","2005","6","Madhya Pradesh","Shajapur","1788.0"
"43","2005","6","Madhya Pradesh","Hoshangabad","2223.0"
"502","2005","6","Madhya Pradesh","Bhopal","1769.0"
"1057","2005","6","Madhya Pradesh","Dindori","512.0"
"1058","2005","6","Madhya Pradesh","Harda","2213.0"
"1060","2005","6","Madhya Pradesh","Barwani","1181.0"
"1061","2005","6","Madhya Pradesh","Katni","1011.0"
"1062","2005","6","Madhya Pradesh","Neemuch","2578.0"
"1063","2005","6","Madhya Pradesh","Sheopur Kalan","2504.0"
"1064","2005","6","Madhya Pradesh","Umaria","806.0"
"1071","2005","6","Madhya Pradesh","Anuppur","710.0"
"1081","2005","6","Madhya Pradesh","Ashoknagar","1267.0"
"1082","2005","6","Madhya Pradesh","Burhanpur","2014.0"
