"Dist Code","Year","State Code","State Name","Dist Name","WHEAT YIELD (Kg per ha)"
"7","2013","6","Madhya Pradesh","Jabalpur","2779.0"
"8","2013","6","Madhya Pradesh","Balaghat","1304.0"
"9","2013","6","Madhya Pradesh","Chhindwara","2275.0"
"10","2013","6","Madhya Pradesh","Narsinghpur","2125.0"
"11","2013","6","Madhya Pradesh","Seoni","2258.0"
"12","2013","6","Madhya Pradesh","Mandla","1761.0"
"13","2013","6","Madhya Pradesh","Sagar","1859.0"
"14","2013","6","Madhya Pradesh","Damoh","1854.0"
"15","2013","6","Madhya Pradesh","Tikamgarh","2027.0"
"16","2013","6","Madhya Pradesh","Chhatarpur","2257.0"
"17","2013","6","Madhya Pradesh","Panna","1778.0"
"18","2013","6","Madhya Pradesh","Rewa","2066.0"
"19","2013","6","Madhya Pradesh","Sidhi","2411.0"
"20","2013","6","Madhya Pradesh","Satna","3275.0"
"21","2013","6","Madhya Pradesh","Shahdol","2649.0"
"22","2013","6","Madhya Pradesh","Gwalior","3048.0"
"23","2013","6","Madhya Pradesh","Shivpuri","2697.0"
"24","2013","6","Madhya Pradesh","Guna","3462.0"
"25","2013","6","Madhya Pradesh","Datia","3000.0"
"26","2013","6","Madhya Pradesh","Morena","3166.0"
"27","2013","6","Madhya Pradesh","Bhind","3554.0"
"28","2013","6","Madhya Pradesh","Indore","2995.0"
"29","2013","6","Madhya Pradesh","Ratlam","2659.0"
"30","2013","6","Madhya Pradesh","Ujjain","2865.0"
"31","2013","6","Madhya Pradesh","Mandsaur","3942.0"
"32","2013","6","Madhya Pradesh","Dewas","2299.0"
"33","2013","6","Madhya Pradesh","Dhar","2501.0"
"34","2013","6","Madhya Pradesh","Jhabua","2777.0"
"35","2013","6","Madhya Pradesh","Khargone","2467.0"
"36","2013","6","Madhya Pradesh","Khandwa","2212.0"
"37","2013","6","Madhya Pradesh","Sehore","2216.0"
"38","2013","6","Madhya Pradesh","Raisen","2138.0"
"39","2013","6","Madhya Pradesh","Vidisha","2085.0"
"40","2013","6","Madhya Pradesh","Betul","1889.0"
"41","2013","6","Madhya Pradesh","Rajgarh","2322.0"
"42","2013","6","Madhya Pradesh","Shajapur","2258.0"
"43","2013","6","Madhya Pradesh","Hoshangabad","3186.0"
"502","2013","6","Madhya Pradesh","Bhopal","3736.0"
"1057","2013","6","Madhya Pradesh","Dindori","1613.0"
"1058","2013","6","Madhya Pradesh","Harda","3174.0"
"1060","2013","6","Madhya Pradesh","Barwani","2876.0"
"1061","2013","6","Madhya Pradesh","Katni","2164.0"
"1062","2013","6","Madhya Pradesh","Neemuch","4240.0"
"1063","2013","6","Madhya Pradesh","Sheopur Kalan","4329.0"
"1064","2013","6","Madhya Pradesh","Umaria","2157.0"
"1071","2013","6","Madhya Pradesh","Anuppur","1274.0"
"1081","2013","6","Madhya Pradesh","Ashoknagar","2512.0"
"1082","2013","6","Madhya Pradesh","Burhanpur","2116.0"
"2006","2013","6","Madhya Pradesh","Alirajpur","2573.0"
"2007","2013","6","Madhya Pradesh","Singrauli","1996.0"
"2058","2013","6","Madhya Pradesh","Agar Malwa","2263.0"
