"Dist Code","Year","State Code","State Name","Dist Name","WHEAT YIELD (Kg per ha)"
"7","2017","6","Madhya Pradesh","Jabalpur","3775.0"
"8","2017","6","Madhya Pradesh","Balaghat","2486.0"
"9","2017","6","Madhya Pradesh","Chhindwara","3421.0"
"10","2017","6","Madhya Pradesh","Narsinghpur","3486.0"
"11","2017","6","Madhya Pradesh","Seoni","2610.0"
"12","2017","6","Madhya Pradesh","Mandla","2637.0"
"13","2017","6","Madhya Pradesh","Sagar","3213.0"
"14","2017","6","Madhya Pradesh","Damoh","3500.0"
"15","2017","6","Madhya Pradesh","Tikamgarh","2501.0"
"16","2017","6","Madhya Pradesh","Chhatarpur","2419.0"
"17","2017","6","Madhya Pradesh","Panna","2706.0"
"18","2017","6","Madhya Pradesh","Rewa","2880.0"
"19","2017","6","Madhya Pradesh","Sidhi","2593.0"
"20","2017","6","Madhya Pradesh","Satna","3434.0"
"21","2017","6","Madhya Pradesh","Shahdol","2182.0"
"22","2017","6","Madhya Pradesh","Gwalior","3804.0"
"23","2017","6","Madhya Pradesh","Shivpuri","2823.0"
"24","2017","6","Madhya Pradesh","Guna","3708.0"
"25","2017","6","Madhya Pradesh","Datia","3303.0"
"26","2017","6","Madhya Pradesh","Morena","4264.0"
"27","2017","6","Madhya Pradesh","Bhind","4222.0"
"28","2017","6","Madhya Pradesh","Indore","4213.0"
"29","2017","6","Madhya Pradesh","Ratlam","3580.0"
"30","2017","6","Madhya Pradesh","Ujjain","4242.0"
"31","2017","6","Madhya Pradesh","Mandsaur","4243.0"
"32","2017","6","Madhya Pradesh","Dewas","4100.0"
"33","2017","6","Madhya Pradesh","Dhar","3483.0"
"34","2017","6","Madhya Pradesh","Jhabua","2966.0"
"35","2017","6","Madhya Pradesh","Khargone","3804.0"
"36","2017","6","Madhya Pradesh","Khandwa","3749.0"
"37","2017","6","Madhya Pradesh","Sehore","3528.0"
"38","2017","6","Madhya Pradesh","Raisen","3278.0"
"39","2017","6","Madhya Pradesh","Vidisha","3900.0"
"40","2017","6","Madhya Pradesh","Betul","2662.0"
"41","2017","6","Madhya Pradesh","Rajgarh","3485.0"
"42","2017","6","Madhya Pradesh","Shajapur","3604.0"
"43","2017","6","Madhya Pradesh","Hoshangabad","4308.0"
"502","2017","6","Madhya Pradesh","Bhopal","2920.0"
"1057","2017","6","Madhya Pradesh","Dindori","2425.0"
"1058","2017","6","Madhya Pradesh","Harda","3982.0"
"1060","2017","6","Madhya Pradesh","Barwani","3550.0"
"1061","2017","6","Madhya Pradesh","Katni","3016.0"
"1062","2017","6","Madhya Pradesh","Neemuch","3914.0"
"1063","2017","6","Madhya Pradesh","Sheopur Kalan","3944.0"
"1064","2017","6","Madhya Pradesh","Umaria","2375.0"
"1071","2017","6","Madhya Pradesh","Anuppur","3644.0"
"1081","2017","6","Madhya Pradesh","Ashoknagar","3272.0"
"1082","2017","6","Madhya Pradesh","Burhanpur","3500.0"
"2006","2017","6","Madhya Pradesh","Alirajpur","2357.0"
"2007","2017","6","Madhya Pradesh","Singrauli","2649.0"
"2058","2017","6","Madhya Pradesh","Agar Malwa","4000.0"
