"Dist Code","Year","State Code","State Name","Dist Name","WHEAT YIELD (Kg per ha)"
"7","2012","6","Madhya Pradesh","Jabalpur","2741.0"
"8","2012","6","Madhya Pradesh","Balaghat","1295.0"
"9","2012","6","Madhya Pradesh","Chhindwara","3166.0"
"10","2012","6","Madhya Pradesh","Narsinghpur","2937.0"
"11","2012","6","Madhya Pradesh","Seoni","2833.0"
"12","2012","6","Madhya Pradesh","Mandla","1718.0"
"13","2012","6","Madhya Pradesh","Sagar","2107.0"
"14","2012","6","Madhya Pradesh","Damoh","2038.0"
"15","2012","6","Madhya Pradesh","Tikamgarh","2564.0"
"16","2012","6","Madhya Pradesh","Chhatarpur","2474.0"
"17","2012","6","Madhya Pradesh","Panna","1895.0"
"18","2012","6","Madhya Pradesh","Rewa","2446.0"
"19","2012","6","Madhya Pradesh","Sidhi","2314.0"
"20","2012","6","Madhya Pradesh","Satna","3149.0"
"21","2012","6","Madhya Pradesh","Shahdol","2492.0"
"22","2012","6","Madhya Pradesh","Gwalior","3647.0"
"23","2012","6","Madhya Pradesh","Shivpuri","3289.0"
"24","2012","6","Madhya Pradesh","Guna","3743.0"
"25","2012","6","Madhya Pradesh","Datia","2983.0"
"26","2012","6","Madhya Pradesh","Morena","3801.0"
"27","2012","6","Madhya Pradesh","Bhind","3776.0"
"28","2012","6","Madhya Pradesh","Indore","4921.0"
"29","2012","6","Madhya Pradesh","Ratlam","2960.0"
"30","2012","6","Madhya Pradesh","Ujjain","3041.0"
"31","2012","6","Madhya Pradesh","Mandsaur","4133.0"
"32","2012","6","Madhya Pradesh","Dewas","3249.0"
"33","2012","6","Madhya Pradesh","Dhar","3290.0"
"34","2012","6","Madhya Pradesh","Jhabua","2769.0"
"35","2012","6","Madhya Pradesh","Khargone","2851.0"
"36","2012","6","Madhya Pradesh","Khandwa","3441.0"
"37","2012","6","Madhya Pradesh","Sehore","2122.0"
"38","2012","6","Madhya Pradesh","Raisen","3391.0"
"39","2012","6","Madhya Pradesh","Vidisha","1754.0"
"40","2012","6","Madhya Pradesh","Betul","2239.0"
"41","2012","6","Madhya Pradesh","Rajgarh","2802.0"
"42","2012","6","Madhya Pradesh","Shajapur","2065.0"
"43","2012","6","Madhya Pradesh","Hoshangabad","3906.0"
"502","2012","6","Madhya Pradesh","Bhopal","3012.0"
"1057","2012","6","Madhya Pradesh","Dindori","1497.0"
"1058","2012","6","Madhya Pradesh","Harda","3915.0"
"1060","2012","6","Madhya Pradesh","Barwani","3018.0"
"1061","2012","6","Madhya Pradesh","Katni","2826.0"
"1062","2012","6","Madhya Pradesh","Neemuch","3857.0"
"1063","2012","6","Madhya Pradesh","Sheopur Kalan","4385.0"
"1064","2012","6","Madhya Pradesh","Umaria","1961.0"
"1071","2012","6","Madhya Pradesh","Anuppur","1530.0"
"1081","2012","6","Madhya Pradesh","Ashoknagar","2591.0"
"1082","2012","6","Madhya Pradesh","Burhanpur","2873.0"
"2006","2012","6","Madhya Pradesh","Alirajpur","3042.0"
"2007","2012","6","Madhya Pradesh","Singrauli","1967.0"
