"Dist Code","Year","State Code","State Name","Dist Name","WHEAT YIELD (Kg per ha)"
"7","2015","6","Madhya Pradesh","Jabalpur","3531.0"
"8","2015","6","Madhya Pradesh","Balaghat","1350.0"
"9","2015","6","Madhya Pradesh","Chhindwara","3855.0"
"10","2015","6","Madhya Pradesh","Narsinghpur","4084.0"
"11","2015","6","Madhya Pradesh","Seoni","2409.0"
"12","2015","6","Madhya Pradesh","Mandla","2378.0"
"13","2015","6","Madhya Pradesh","Sagar","2190.0"
"14","2015","6","Madhya Pradesh","Damoh","2013.0"
"15","2015","6","Madhya Pradesh","Tikamgarh","1915.0"
"16","2015","6","Madhya Pradesh","Chhatarpur","1830.0"
"17","2015","6","Madhya Pradesh","Panna","1756.0"
"18","2015","6","Madhya Pradesh","Rewa","2106.0"
"19","2015","6","Madhya Pradesh","Sidhi","2088.0"
"20","2015","6","Madhya Pradesh","Satna","2955.0"
"21","2015","6","Madhya Pradesh","Shahdol","2226.0"
"22","2015","6","Madhya Pradesh","Gwalior","3787.0"
"23","2015","6","Madhya Pradesh","Shivpuri","2709.0"
"24","2015","6","Madhya Pradesh","Guna","3740.0"
"25","2015","6","Madhya Pradesh","Datia","2966.0"
"26","2015","6","Madhya Pradesh","Morena","4242.0"
"27","2015","6","Madhya Pradesh","Bhind","3813.0"
"28","2015","6","Madhya Pradesh","Indore","4419.0"
"29","2015","6","Madhya Pradesh","Ratlam","3400.0"
"30","2015","6","Madhya Pradesh","Ujjain","3496.0"
"31","2015","6","Madhya Pradesh","Mandsaur","3261.0"
"32","2015","6","Madhya Pradesh","Dewas","4096.0"
"33","2015","6","Madhya Pradesh","Dhar","3005.0"
"34","2015","6","Madhya Pradesh","Jhabua","2632.0"
"35","2015","6","Madhya Pradesh","Khargone","3361.0"
"36","2015","6","Madhya Pradesh","Khandwa","2294.0"
"37","2015","6","Madhya Pradesh","Sehore","3642.0"
"38","2015","6","Madhya Pradesh","Raisen","3156.0"
"39","2015","6","Madhya Pradesh","Vidisha","2386.0"
"40","2015","6","Madhya Pradesh","Betul","2475.0"
"41","2015","6","Madhya Pradesh","Rajgarh","2541.0"
"42","2015","6","Madhya Pradesh","Shajapur","3024.0"
"43","2015","6","Madhya Pradesh","Hoshangabad","4250.0"
"502","2015","6","Madhya Pradesh","Bhopal","3000.0"
"1057","2015","6","Madhya Pradesh","Dindori","1467.0"
"1058","2015","6","Madhya Pradesh","Harda","3843.0"
"1060","2015","6","Madhya Pradesh","Barwani","3275.0"
"1061","2015","6","Madhya Pradesh","Katni","2278.0"
"1062","2015","6","Madhya Pradesh","Neemuch","4034.0"
"1063","2015","6","Madhya Pradesh","Sheopur Kalan","4317.0"
"1064","2015","6","Madhya Pradesh","Umaria","1667.0"
"1071","2015","6","Madhya Pradesh","Anuppur","1769.0"
"1081","2015","6","Madhya Pradesh","Ashoknagar","2576.0"
"1082","2015","6","Madhya Pradesh","Burhanpur","3500.0"
"2006","2015","6","Madhya Pradesh","Alirajpur","3947.0"
"2007","2015","6","Madhya Pradesh","Singrauli","2171.0"
"2058","2015","6","Madhya Pradesh","Agar Malwa","3800.0"
