"Dist Code","Year","State Code","State Name","Dist Name","WHEAT YIELD (Kg per ha)"
"7","2016","6","Madhya Pradesh","Jabalpur","3733.0"
"8","2016","6","Madhya Pradesh","Balaghat","1829.0"
"9","2016","6","Madhya Pradesh","Chhindwara","3229.0"
"10","2016","6","Madhya Pradesh","Narsinghpur","4040.0"
"11","2016","6","Madhya Pradesh","Seoni","2947.0"
"12","2016","6","Madhya Pradesh","Mandla","3306.0"
"13","2016","6","Madhya Pradesh","Sagar","2757.0"
"14","2016","6","Madhya Pradesh","Damoh","3505.0"
"15","2016","6","Madhya Pradesh","Tikamgarh","2807.0"
"16","2016","6","Madhya Pradesh","Chhatarpur","2852.0"
"17","2016","6","Madhya Pradesh","Panna","3065.0"
"18","2016","6","Madhya Pradesh","Rewa","2872.0"
"19","2016","6","Madhya Pradesh","Sidhi","2871.0"
"20","2016","6","Madhya Pradesh","Satna","3608.0"
"21","2016","6","Madhya Pradesh","Shahdol","1698.0"
"22","2016","6","Madhya Pradesh","Gwalior","4014.0"
"23","2016","6","Madhya Pradesh","Shivpuri","3106.0"
"24","2016","6","Madhya Pradesh","Guna","3831.0"
"25","2016","6","Madhya Pradesh","Datia","3384.0"
"26","2016","6","Madhya Pradesh","Morena","3915.0"
"27","2016","6","Madhya Pradesh","Bhind","4014.0"
"28","2016","6","Madhya Pradesh","Indore","4308.0"
"29","2016","6","Madhya Pradesh","Ratlam","3385.0"
"30","2016","6","Madhya Pradesh","Ujjain","3797.0"
"31","2016","6","Madhya Pradesh","Mandsaur","4309.0"
"32","2016","6","Madhya Pradesh","Dewas","3693.0"
"33","2016","6","Madhya Pradesh","Dhar","3338.0"
"34","2016","6","Madhya Pradesh","Jhabua","3188.0"
"35","2016","6","Madhya Pradesh","Khargone","4139.0"
"36","2016","6","Madhya Pradesh","Khandwa","3955.0"
"37","2016","6","Madhya Pradesh","Sehore","3388.0"
"38","2016","6","Madhya Pradesh","Raisen","3267.0"
"39","2016","6","Madhya Pradesh","Vidisha","2961.0"
"40","2016","6","Madhya Pradesh","Betul","2648.0"
"41","2016","6","Madhya Pradesh","Rajgarh","3547.0"
"42","2016","6","Madhya Pradesh","Shajapur","3346.0"
"43","2016","6","Madhya Pradesh","Hoshangabad","4500.0"
"502","2016","6","Madhya Pradesh","Bhopal","3460.0"
"1057","2016","6","Madhya Pradesh","Dindori","2204.0"
"1058","2016","6","Madhya Pradesh","Harda","4305.0"
"1060","2016","6","Madhya Pradesh","Barwani","3581.0"
"1061","2016","6","Madhya Pradesh","Katni","3189.0"
"1062","2016","6","Madhya Pradesh","Neemuch","3280.0"
"1063","2016","6","Madhya Pradesh","Sheopur Kalan","4106.0"
"1064","2016","6","Madhya Pradesh","Umaria","2308.0"
"1071","2016","6","Madhya Pradesh","Anuppur","1963.0"
"1081","2016","6","Madhya Pradesh","Ashoknagar","2472.0"
"1082","2016","6","Madhya Pradesh","Burhanpur","3000.0"
"2006","2016","6","Madhya Pradesh","Alirajpur","2727.0"
"2007","2016","6","Madhya Pradesh","Singrauli","2625.0"
"2058","2016","6","Madhya Pradesh","Agar Malwa","3620.0"
