"Dist Code","Year","State Code","State Name","Dist Name","WHEAT YIELD (Kg per ha)"
"7","2007","6","Madhya Pradesh","Jabalpur","1481.0"
"8","2007","6","Madhya Pradesh","Balaghat","898.0"
"9","2007","6","Madhya Pradesh","Chhindwara","2018.0"
"10","2007","6","Madhya Pradesh","Narsinghpur","2864.0"
"11","2007","6","Madhya Pradesh","Seoni","845.0"
"12","2007","6","Madhya Pradesh","Mandla","869.0"
"13","2007","6","Madhya Pradesh","Sagar","944.0"
"14","2007","6","Madhya Pradesh","Damoh","1582.0"
"15","2007","6","Madhya Pradesh","Tikamgarh","1233.0"
"16","2007","6","Madhya Pradesh","Chhatarpur","1042.0"
"17","2007","6","Madhya Pradesh","Panna","993.0"
"18","2007","6","Madhya Pradesh","Rewa","676.0"
"19","2007","6","Madhya Pradesh","Sidhi","638.0"
"20","2007","6","Madhya Pradesh","Satna","692.0"
"21","2007","6","Madhya Pradesh","Shahdol","849.0"
"22","2007","6","Madhya Pradesh","Gwalior","1617.0"
"23","2007","6","Madhya Pradesh","Shivpuri","1218.0"
"24","2007","6","Madhya Pradesh","Guna","1506.0"
"25","2007","6","Madhya Pradesh","Datia","1715.0"
"26","2007","6","Madhya Pradesh","Morena","2041.0"
"27","2007","6","Madhya Pradesh","Bhind","1387.0"
"28","2007","6","Madhya Pradesh","Indore","1928.0"
"29","2007","6","Madhya Pradesh","Ratlam","2916.0"
"30","2007","6","Madhya Pradesh","Ujjain","1786.0"
"31","2007","6","Madhya Pradesh","Mandsaur","2147.0"
"32","2007","6","Madhya Pradesh","Dewas","1811.0"
"33","2007","6","Madhya Pradesh","Dhar","2312.0"
"34","2007","6","Madhya Pradesh","Jhabua","1789.0"
"35","2007","6","Madhya Pradesh","Khargone","2593.0"
"36","2007","6","Madhya Pradesh","Khandwa","1663.0"
"37","2007","6","Madhya Pradesh","Sehore","1143.0"
"38","2007","6","Madhya Pradesh","Raisen","1214.0"
"39","2007","6","Madhya Pradesh","Vidisha","1125.0"
"40","2007","6","Madhya Pradesh","Betul","1548.0"
"41","2007","6","Madhya Pradesh","Rajgarh","1434.0"
"42","2007","6","Madhya Pradesh","Shajapur","1885.0"
"43","2007","6","Madhya Pradesh","Hoshangabad","3210.0"
"502","2007","6","Madhya Pradesh","Bhopal","1761.0"
"1057","2007","6","Madhya Pradesh","Dindori","502.0"
"1058","2007","6","Madhya Pradesh","Harda","3280.0"
"1060","2007","6","Madhya Pradesh","Barwani","1509.0"
"1061","2007","6","Madhya Pradesh","Katni","882.0"
"1062","2007","6","Madhya Pradesh","Neemuch","2115.0"
"1063","2007","6","Madhya Pradesh","Sheopur Kalan","2203.0"
"1064","2007","6","Madhya Pradesh","Umaria","735.0"
"1071","2007","6","Madhya Pradesh","Anuppur","689.0"
"1081","2007","6","Madhya Pradesh","Ashoknagar","1143.0"
"1082","2007","6","Madhya Pradesh","Burhanpur","1913.0"
