"Dist Code","Year","State Code","State Name","Dist Name","WHEAT YIELD (Kg per ha)"
"7","2014","6","Madhya Pradesh","Jabalpur","3023.0"
"8","2014","6","Madhya Pradesh","Balaghat","1474.0"
"9","2014","6","Madhya Pradesh","Chhindwara","2935.0"
"10","2014","6","Madhya Pradesh","Narsinghpur","3245.0"
"11","2014","6","Madhya Pradesh","Seoni","2889.0"
"12","2014","6","Madhya Pradesh","Mandla","1583.0"
"13","2014","6","Madhya Pradesh","Sagar","2130.0"
"14","2014","6","Madhya Pradesh","Damoh","2161.0"
"15","2014","6","Madhya Pradesh","Tikamgarh","2462.0"
"16","2014","6","Madhya Pradesh","Chhatarpur","2207.0"
"17","2014","6","Madhya Pradesh","Panna","1952.0"
"18","2014","6","Madhya Pradesh","Rewa","3432.0"
"19","2014","6","Madhya Pradesh","Sidhi","2372.0"
"20","2014","6","Madhya Pradesh","Satna","3509.0"
"21","2014","6","Madhya Pradesh","Shahdol","1893.0"
"22","2014","6","Madhya Pradesh","Gwalior","3221.0"
"23","2014","6","Madhya Pradesh","Shivpuri","3145.0"
"24","2014","6","Madhya Pradesh","Guna","3336.0"
"25","2014","6","Madhya Pradesh","Datia","2633.0"
"26","2014","6","Madhya Pradesh","Morena","3024.0"
"27","2014","6","Madhya Pradesh","Bhind","3971.0"
"28","2014","6","Madhya Pradesh","Indore","4016.0"
"29","2014","6","Madhya Pradesh","Ratlam","2879.0"
"30","2014","6","Madhya Pradesh","Ujjain","3084.0"
"31","2014","6","Madhya Pradesh","Mandsaur","3742.0"
"32","2014","6","Madhya Pradesh","Dewas","3338.0"
"33","2014","6","Madhya Pradesh","Dhar","3942.0"
"34","2014","6","Madhya Pradesh","Jhabua","3085.0"
"35","2014","6","Madhya Pradesh","Khargone","3242.0"
"36","2014","6","Madhya Pradesh","Khandwa","3000.0"
"37","2014","6","Madhya Pradesh","Sehore","3546.0"
"38","2014","6","Madhya Pradesh","Raisen","3396.0"
"39","2014","6","Madhya Pradesh","Vidisha","2729.0"
"40","2014","6","Madhya Pradesh","Betul","2466.0"
"41","2014","6","Madhya Pradesh","Rajgarh","3161.0"
"42","2014","6","Madhya Pradesh","Shajapur","3394.0"
"43","2014","6","Madhya Pradesh","Hoshangabad","4796.0"
"502","2014","6","Madhya Pradesh","Bhopal","2663.0"
"1057","2014","6","Madhya Pradesh","Dindori","1284.0"
"1058","2014","6","Madhya Pradesh","Harda","4122.0"
"1060","2014","6","Madhya Pradesh","Barwani","3122.0"
"1061","2014","6","Madhya Pradesh","Katni","2095.0"
"1062","2014","6","Madhya Pradesh","Neemuch","3625.0"
"1063","2014","6","Madhya Pradesh","Sheopur Kalan","3683.0"
"1064","2014","6","Madhya Pradesh","Umaria","1640.0"
"1071","2014","6","Madhya Pradesh","Anuppur","1973.0"
"1081","2014","6","Madhya Pradesh","Ashoknagar","2804.0"
"1082","2014","6","Madhya Pradesh","Burhanpur","3056.0"
"2006","2014","6","Madhya Pradesh","Alirajpur","2963.0"
"2007","2014","6","Madhya Pradesh","Singrauli","2155.0"
"2058","2014","6","Madhya Pradesh","Agar Malwa","2574.0"
