"Dist Code","Year","State Code","State Name","Dist Name","WHEAT YIELD (Kg per ha)"
"7","2010","6","Madhya Pradesh","Jabalpur","2928.0"
"8","2010","6","Madhya Pradesh","Balaghat","1517.0"
"9","2010","6","Madhya Pradesh","Chhindwara","3397.0"
"10","2010","6","Madhya Pradesh","Narsinghpur","3298.0"
"11","2010","6","Madhya Pradesh","Seoni","914.0"
"12","2010","6","Madhya Pradesh","Mandla","954.0"
"13","2010","6","Madhya Pradesh","Sagar","1081.0"
"14","2010","6","Madhya Pradesh","Damoh","2387.0"
"15","2010","6","Madhya Pradesh","Tikamgarh","1269.0"
"16","2010","6","Madhya Pradesh","Chhatarpur","1206.0"
"17","2010","6","Madhya Pradesh","Panna","1419.0"
"18","2010","6","Madhya Pradesh","Rewa","828.0"
"19","2010","6","Madhya Pradesh","Sidhi","708.0"
"20","2010","6","Madhya Pradesh","Satna","950.0"
"21","2010","6","Madhya Pradesh","Shahdol","692.0"
"22","2010","6","Madhya Pradesh","Gwalior","2708.0"
"23","2010","6","Madhya Pradesh","Shivpuri","2027.0"
"24","2010","6","Madhya Pradesh","Guna","2114.0"
"25","2010","6","Madhya Pradesh","Datia","1997.0"
"26","2010","6","Madhya Pradesh","Morena","2310.0"
"27","2010","6","Madhya Pradesh","Bhind","2060.0"
"28","2010","6","Madhya Pradesh","Indore","2514.0"
"29","2010","6","Madhya Pradesh","Ratlam","4029.0"
"30","2010","6","Madhya Pradesh","Ujjain","1760.0"
"31","2010","6","Madhya Pradesh","Mandsaur","2138.0"
"32","2010","6","Madhya Pradesh","Dewas","1803.0"
"33","2010","6","Madhya Pradesh","Dhar","2350.0"
"34","2010","6","Madhya Pradesh","Jhabua","1876.0"
"35","2010","6","Madhya Pradesh","Khargone","3007.0"
"36","2010","6","Madhya Pradesh","Khandwa","1879.0"
"37","2010","6","Madhya Pradesh","Sehore","1602.0"
"38","2010","6","Madhya Pradesh","Raisen","1527.0"
"39","2010","6","Madhya Pradesh","Vidisha","1651.0"
"40","2010","6","Madhya Pradesh","Betul","1183.0"
"41","2010","6","Madhya Pradesh","Rajgarh","1492.0"
"42","2010","6","Madhya Pradesh","Shajapur","2006.0"
"43","2010","6","Madhya Pradesh","Hoshangabad","3525.0"
"502","2010","6","Madhya Pradesh","Bhopal","1693.0"
"1057","2010","6","Madhya Pradesh","Dindori","578.0"
"1058","2010","6","Madhya Pradesh","Harda","3963.0"
"1060","2010","6","Madhya Pradesh","Barwani","2181.0"
"1061","2010","6","Madhya Pradesh","Katni","882.0"
"1062","2010","6","Madhya Pradesh","Neemuch","2392.0"
"1063","2010","6","Madhya Pradesh","Sheopur Kalan","2489.0"
"1064","2010","6","Madhya Pradesh","Umaria","765.0"
"1071","2010","6","Madhya Pradesh","Anuppur","642.0"
"1081","2010","6","Madhya Pradesh","Ashoknagar","1750.0"
"1082","2010","6","Madhya Pradesh","Burhanpur","2296.0"
"2006","2010","6","Madhya Pradesh","Alirajpur","1833.0"
"2007","2010","6","Madhya Pradesh","Singrauli","1140.0"
